LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C382228,FM31X223K631EEG,PSA(Prosperity Dielectrics),,1206,630V 22nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.008400,0.42
C976240,FM31X224K251EEG,PSA(Prosperity Dielectrics),,1206,250V 220nF ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,20\20,0.020000,0.40
C1884,1206CG101J500NT,FH (Guangdong Fenghua Advanced Tech),,1206,50V 100pF C0G ±5% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.011500,0.58
C7467448,FRL2512JR020TS,FOJAN,,2512,1W Thick Film Resistors 1200ppm/℃ ±5% 20mΩ 2512  Chip Resistor - Surface Mount ROHS,YES,10,10\10,0.039000,0.39
C67277,IRLR3110ZTRPBF,Infineon Technologies,,TO-252-2(DPAK),"100V 42A 140W 14mΩ@10V,38A N Channel TO-252-2(DPAK)  MOSFETs ROHS",YES,10,1\1,0.989600,9.90
C464972,FN31X104K500PXG,PSA(Prosperity Dielectrics),,1206,50V 100nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.006100,0.31
C229316,AC1206FR-07140KL,YAGEO,,1206,250mW Thick Film Resistors ±100ppm/℃ ±1% 140kΩ 1206  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.004400,0.22
C2918513,CS3225X5R476K160NRL,Samwha Capacitor,,1210,16V 47uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,25,5\5,0.095800,2.40
C280037,CR-06JL7----1M,Viking Tech,,1206,250mW Thick Film Resistors ±5% 1MΩ 1206  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.002400,0.12
C280031,CR-06JL7----0R,Viking Tech,,1206,250mW Thick Film Resistors ±5% 0Ω 1206  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.002400,0.12
C93059,1206X106M250NT,FH (Guangdong Fenghua Advanced Tech),,1206,25V 10uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,10,10\10,0.017900,0.18
C128545,VG039NCHXTB104,HDK(Hokuriku Elec Industry),,SMD,±25% 100kΩ SMD  Variable Resistors/Potentiometers ROHS,YES,10,10\10,0.079500,0.80
C5274471,KH-SS12F44-G3.5,Shenzhen Kinghelm Elec,,Plugin," Plugin  Slide Switches ROHS",YES,10,10\10,0.023100,0.23
C104602,RTT06103JTP,RALEC,,1206,250mW ±100ppm/℃ ±5% 10kΩ 1206  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.002200,0.22
C456012,TYPE-C 6P,SHOU HAN,,SMD,1 Surface Mount 6P Female -40℃~+85℃ Type-C SMD  USB Connectors ROHS,YES,10,10\10,0.043600,0.44
C881297,CR1206J22R0P05Z,Ever Ohms Tech,,1206,250mW ±100ppm/℃ ±5% 22Ω 1206  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.002300,0.12
C962640,RFN1LAM6STR,ROHM Semicon,,SOD-128,1.15V@800mA 25ns Single 800mA 600V SOD-128  Diodes - Fast Recovery Rectifiers ROHS,YES,10,1\1,0.087900,0.88
C81276,C81276,BOOMELE(Boom Precision Elec),,"Plugin,P=2.54mm","Straight 1P Plugin Black Plugin,P=2.54mm  Pin Headers ROHS",YES,100,100\100,0.006600,0.66
C5153981,FRC1206F6342TS,FOJAN,,1206,250mW Thick Film Resistors ±100ppm/℃ ±1% 63.4kΩ 1206  Chip Resistor - Surface Mount ROHS,YES,10,5\5,0.002900,0.03
